ID,Question,muscle code,Correct,isAlternate,Alternate value,Feedback Correct,Feedback Alternate,Feedback incorrect,Points Correct,Points Alternate,show muscle trys
0,Demonstrate the action of the| Brachialis -new,11,32,0,,Correct! great one,,try again dude!,10,0,0
1,Demonstrate the action of the Pronator Teres -list,62,48,0,,Correct! great two,,try again man!,10,0,1
2,Demonstrate the action of the Biceps Brachia -here,7,2080,0,,Correct! The biceps brachii flexes the shoulder flexes the elbow and pronates the forearm.,,try again compadre!,10,0,2
3,Demonstrate flexion of the wrist -to,0,8,0,,Correct! great four,,try again friend!,10,0,0
4,Demonstrate hyperextension of the wrist -test,0,4,0,,Correct! great five,,try again buddy!,10,0,0
5,Demonstrate the action of the costal head of the pectoralis major -this,55,64,1,0,Correct! great six,Yes but also,try again comrade!,10,5,1
6,Demonstrate the action of the scapular head of the deltoid -thing,16,1280,0,,Correct! great seven,,try again pal!,10,0,0
7,Demonstrate the action of the hamstrings group -we ,44,2162688,0,,Correct! great eight,,try again sport!,10,0,1
8,Demonstrate the action of the soleus -do,69,32768,0,,Correct! great nine,,try again hombre!,10,0,0
9,Demonstrate the action of the tibialis anterior -today,76,20480,0,,Correct! great ten,,try again and again!,10,0,0
